country,year,FP.CPI.TOTL.ZG
Australia,2020,0.846905537459293
Australia,2019,1.61076787290379
Australia,2018,1.91140094445692
Australia,2017,1.94864740944522
Australia,2016,1.27699094497328
Australia,2015,1.50836672165921
Australia,2014,2.48792270531403
Australia,2013,2.44988864142539
Australia,2012,1.76278015613193
Australia,2011,3.30385015608744
Australia,2010,2.91834002677376
Australia,2009,1.77111716621252
Australia,2008,4.35029854990047
Australia,2007,2.32761128891476
Australia,2006,3.55528773727028
Australia,2005,2.69183168316831
Australia,2004,2.34325522482587
Australia,2003,2.73259596616783
Australia,2002,2.98157453936349
Australia,2001,4.4071353620147
Australia,2000,4.45743514797225
Austria,2020,1.38191063351859
Austria,2019,1.53089564152645
Austria,2018,1.99837981429546
Austria,2017,2.08126911385587
Austria,2016,0.891591752655335
Austria,2015,0.896563335260302
Austria,2014,1.60581182954471
Austria,2013,2.00015616900603
Austria,2012,2.48567562177017
Austria,2011,3.28657914875376
Austria,2010,1.81353438995065
Austria,2009,0.506308827696486
Austria,2008,3.21595033239883
Austria,2007,2.16855528800755
Austria,2006,1.44154851119019
Austria,2005,2.29913785639285
Austria,2004,2.06120618032866
Austria,2003,1.35555370896445
Austria,2002,1.81035787764132
Austria,2001,2.65000077279529
Austria,2000,2.34486285357277
Belgium,2020,0.740791812220385
Belgium,2019,1.43681956996435
Belgium,2018,2.05316499865181
Belgium,2017,2.12597086002609
Belgium,2016,1.97385264653172
Belgium,2015,0.561429152790106
Belgium,2014,0.340002833356965
Belgium,2013,1.11309594027537
Belgium,2012,2.83966343445897
Belgium,2011,3.53208210722744
Belgium,2010,2.18929920422458
Belgium,2009,-0.0531456741253762
Belgium,2008,4.48944420508401
Belgium,2007,1.8230563002681
Belgium,2006,1.79120770070454
Belgium,2005,2.78143263670025
Belgium,2004,2.09728311239314
Belgium,2003,1.58896399970379
Belgium,2002,1.64521436175359
Belgium,2001,2.46925823086078
Belgium,2000,2.54451776190906
Canada,2020,0.716999632307852
Canada,2019,1.94926902411596
Canada,2018,2.268225672481
Canada,2017,1.5968841285297
Canada,2016,1.4287595470108
Canada,2015,1.12524136094279
Canada,2014,1.90663590717873
Canada,2013,0.93829189781521
Canada,2012,1.51567823124521
Canada,2011,2.91213508872355
Canada,2010,1.77687154092629
Canada,2009,0.299466803009284
Canada,2008,2.37027067444294
Canada,2007,2.13838399266843
Canada,2006,2.00202539534156
Canada,2005,2.21355203439764
Canada,2004,1.85725871857261
Canada,2003,2.75856321360112
Canada,2002,2.25839440940856
Canada,2001,2.52512013979907
Canada,2000,2.71943995691972
Switzerland,2020,-0.725874933313391
Switzerland,2019,0.362886179940635
Switzerland,2018,0.936335464113605
Switzerland,2017,0.533787839825886
Switzerland,2016,-0.434618664285843
Switzerland,2015,-1.14390867228178
Switzerland,2014,-0.0132025387515987
Switzerland,2013,-0.217323155115639
Switzerland,2012,-0.692552018105236
Switzerland,2011,0.231349207650894
Switzerland,2010,0.688238707220017
Switzerland,2009,-0.480481936423328
Switzerland,2008,2.42604117060162
Switzerland,2007,0.732350603122241
Switzerland,2006,1.05950928324804
Switzerland,2005,1.17195420333701
Switzerland,2004,0.802908730955216
Switzerland,2003,0.638272930887213
Switzerland,2002,0.64271150654328
Switzerland,2001,0.989020329832555
Switzerland,2000,1.55852919679006
Czechia,2020,3.16129528497808
Czechia,2019,2.84787595918047
Czechia,2018,2.14949494949492
Czechia,2017,2.45053398460138
Czechia,2016,0.683504209385683
Czechia,2015,0.309364548494974
Czechia,2014,0.343988589646784
Czechia,2013,1.43829787234043
Czechia,2012,3.28762306610408
Czechia,2011,1.91721913635547
Czechia,2010,1.47272727272729
Czechia,2009,1.0193773532923
Czechia,2008,6.35866380152374
Czechia,2007,2.85312437211172
Czechia,2006,2.53399258343632
Czechia,2005,1.85709789109223
Czechia,2004,2.76010781671159
Czechia,2003,0.118739205526785
Czechia,2002,1.90298097019031
Czechia,2001,4.66267556988255
Czechia,2000,3.77538829151733
Germany,2020,0.506689889953274
Germany,2019,1.4456670146976
Germany,2018,1.73216766075662
Germany,2017,1.50949655801608
Germany,2016,0.49174862477081
Germany,2015,0.51442053951781
Germany,2014,0.906797948515676
Germany,2013,1.5047209800535
Germany,2012,2.0084909216701
Germany,2011,2.07517452479837
Germany,2010,1.10380916115812
Germany,2009,0.31273762987172
Germany,2008,2.62838174873985
Germany,2007,2.29834179696226
Germany,2006,1.57742825864226
Germany,2005,1.54690965159041
Germany,2004,1.66573340932676
Germany,2003,1.03422776551069
Germany,2002,1.42080560518857
Germany,2001,1.98385693617829
Germany,2000,1.44026818676794
Denmark,2020,0.420711974110026
Denmark,2019,0.758131572511619
Denmark,2018,0.813609467455633
Denmark,2017,1.14713216957606
Denmark,2016,0.249999999999997
Denmark,2015,0.452034153691623
Denmark,2014,0.564020540449518
Denmark,2013,0.789071780078061
Denmark,2012,2.39791485664639
Denmark,2011,2.75868226051246
Denmark,2010,2.31092436974789
Denmark,2009,1.30470991024336
Denmark,2008,3.41626794258375
Denmark,2007,1.69326586220319
Denmark,2006,1.92422138464588
Denmark,2005,1.81781458291257
Denmark,2004,1.15435693124937
Denmark,2003,2.07507820646504
Denmark,2002,2.42443661219694
Denmark,2001,2.33787000255261
Denmark,2000,2.90328203236457
Spain,2020,-0.322753017299705
Spain,2019,0.699518994458693
Spain,2018,1.67498136863794
Spain,2017,1.95607633363964
Spain,2016,-0.202598000426425
Spain,2015,-0.500365709903282
Spain,2014,-0.151114837527181
Spain,2013,1.40858109183012
Spain,2012,2.44612782366812
Spain,2011,3.19610188833788
Spain,2010,1.79986457728766
Spain,2009,-0.287813083535237
Spain,2008,4.07534335957341
Spain,2007,2.78679745804947
Spain,2006,3.51557576832125
Spain,2005,3.36881409750382
Spain,2004,3.03924881090927
Spain,2003,3.03888839396654
Spain,2002,3.0656568590222
Spain,2001,3.58983413338114
Spain,2000,3.43351563418762
Estonia,2020,-0.444531097679859
Estonia,2019,2.27725931243518
Estonia,2018,3.43632688420445
Estonia,2017,3.41723549488057
Estonia,2016,0.148684907627356
Estonia,2015,-0.492326006547338
Estonia,2014,-0.106175146521716
Estonia,2013,2.78056658954996
Estonia,2012,3.93339987296979
Estonia,2011,4.9819013145361
Estonia,2010,2.97204512015696
Estonia,2009,-0.0784083112810205
Estonia,2008,10.3623580313683
Estonia,2007,6.60132603055634
Estonia,2006,4.43762042389211
Estonia,2005,4.07971423199846
Estonia,2004,3.04811107523412
Estonia,2003,1.33499116549964
Estonia,2002,3.57191270164023
Estonia,2001,5.74827981651377
Estonia,2000,4.0184895250876
Finland,2020,0.290554555653313
Finland,2019,1.02409392963429
Finland,2018,1.08382098409299
Finland,2017,0.754015047084413
Finland,2016,0.356684500891696
Finland,2015,-0.207928839905218
