,Report Date,Polarity,Subjectivity
0,01-10-2022,0.02619047619047619,0.5547619047619047
1,01-07-2022,-0.06738888888888889,0.4522222222222222
2,01-06-2022,-0.038999999999999986,0.44999999999999996
3,01-01-2022,-0.027525252525252526,0.4434343434343434
4,01-04-2022,-0.10874999999999999,0.48
5,01-05-2022,-0.047159090909090894,0.4613636363636363
6,01-09-2022,-0.14947916666666664,0.5260416666666666
7,01-08-2022,-0.003676470588235281,0.5058823529411766
8,01-03-2022,-0.05065937149270482,0.4693041526374859
9,01-02-2022,-0.039333333333333324,0.4373333333333333
