year,unitid,inst_name,state_abbr,inst_control,institution_level
"2020","124487","Epic Bible College","CA","Private not-for-profit","Four or more years"
"2020","114433","Feather River Community College District","CA","Public","Four or more years"
"2020","114354","FIDM-Fashion Institute of Design & Merchandising-Los Angeles","CA","Private for-profit","Four or more years"
"2020","114390","FIDM-Fashion Institute of Design & Merchandising-San Francisco","CA","Private for-profit","Four or more years"
"2020","114549","Fielding Graduate University","CA","Private not-for-profit","Four or more years"
"2020","114585","Five Branches University","CA","Private for-profit","Four or more years"
"2020","114716","Foothill College","CA","Public","Four or more years"
"2020","114831","Foothill-De Anza Community College District","CA","Public","Four or more years"
"2020","114734","Franciscan School of Theology","CA","Private not-for-profit","Four or more years"
"2020","372073","Fremont College","CA","Private for-profit","Four or more years"
"2020","114813","Fresno Pacific University","CA","Private not-for-profit","Four or more years"
"2020","114840","Fuller Theological Seminary","CA","Private not-for-profit","Four or more years"
"2020","115010","Glendale Career College","CA","Private for-profit","Four or more years"
"2020","449384","Gnomon","CA","Private for-profit","Four or more years"
"2020","115083","Golden Gate University-San Francisco","CA","Private not-for-profit","Four or more years"
"2020","481058","Grace Mission University","CA","Private not-for-profit","Four or more years"
"2020","115214","Graduate Theological Union","CA","Private not-for-profit","Four or more years"
"2020","459213","Gurnick Academy of Medical Arts","CA","Private for-profit","Four or more years"
"2020","115409","Harvey Mudd College","CA","Private not-for-profit","Four or more years"
"2020","111045","Haven University","CA","Private not-for-profit","Four or more years"
"2020","485403","High Tech High Graduate School of Education","CA","Private not-for-profit","Four or more years"
"2020","115728","Holy Names University","CA","Private not-for-profit","Four or more years"
"2020","457086","Homestead Schools","CA","Private not-for-profit","Four or more years"
"2020","120537","Hope International University","CA","Private not-for-profit","Four or more years"
"2020","115755","Humboldt State University","CA","Public","Four or more years"
"2020","115773","Humphreys University-Stockton and Modesto Campuses","CA","Private not-for-profit","Four or more years"
"2020","486965","Hussian College-Los Angeles","CA","Private for-profit","Four or more years"
"2020","489335","Institute of Buddhist Studies","CA","Private not-for-profit","Four or more years"
"2020","116226","Interior Designers Institute","CA","Private for-profit","Four or more years"
"2020","485519","International Sports Sciences Association","CA","Private for-profit","Four or more years"
"2020","443128","International Technological University","CA","Private not-for-profit","Four or more years"
"2020","441238","Irell & Manella Graduate School of Biological Sciences at City of Hope","CA","Private not-for-profit","Four or more years"
"2020","116712","John F. Kennedy University","CA","Private not-for-profit","Four or more years"
"2020","462354","John Paul the Great Catholic University","CA","Private not-for-profit","Four or more years"
"2020","440031","Keck Graduate Institute","CA","Private not-for-profit","Four or more years"
"2020","117627","La Sierra University","CA","Private not-for-profit","Four or more years"
"2020","117168","Laguna College of Art and Design","CA","Private not-for-profit","Four or more years"
"2020","117283","Latin American Bible Institute","CA","Private not-for-profit","Four or more years"
"2020","454786","Laurus College","CA","Private for-profit","Four or more years"
"2020","117520","Life Chiropractic College West","CA","Private not-for-profit","Four or more years"
"2020","117104","Life Pacific University","CA","Private not-for-profit","Four or more years"
"2020","117557","Lincoln University","CA","Private not-for-profit","Four or more years"
"2020","117636","Loma Linda University","CA","Private not-for-profit","Four or more years"
"2020","490124","Los Angeles Academy of Figurative Art","CA","Private for-profit","Four or more years"
"2020","446385","Los Angeles College of Music","CA","Private for-profit","Four or more years"
"2020","117681","Los Angeles Community College District Office","CA","Public","Four or more years"
"2020","436429","Los Angeles Film School","CA","Private for-profit","Four or more years"
"2020","474863","Los Angeles Pacific University","CA","Private not-for-profit","Four or more years"
"2020","117946","Loyola Marymount University","CA","Private not-for-profit","Four or more years"
"2020","123943","Marshall B Ketchum University","CA","Private not-for-profit","Four or more years"
"2020","118541","Marymount California University","CA","Private not-for-profit","Four or more years"
"2020","476595","Medical Allied Career Center","CA","Private for-profit","Four or more years"
"2020","118693","Menlo College","CA","Private not-for-profit","Four or more years"
"2020","491808","Meridian University","CA","Private for-profit","Four or more years"
"2020","119058","Middlebury Institute of International Studies at Monterey","CA","Private not-for-profit","Four or more years"
"2020","118888","Mills College","CA","Private not-for-profit","Four or more years"
"2020","118912","MiraCosta College","CA","Public","Four or more years"
"2020","118976","Modesto Junior College","CA","Public","Four or more years"
"2020","119173","Mount Saint Mary's University","CA","Private not-for-profit","Four or more years"
"2020","119270","Musicians Institute","CA","Private for-profit","Four or more years"
"2020","119605","National University","CA","Private not-for-profit","Four or more years"
"2020","119678","Naval Postgraduate School","CA","Public","Four or more years"
"2020","461148","New York Film Academy","CA","Private for-profit","Four or more years"
"2020","119775","Newschool of Architecture and Design","CA","Private for-profit","Four or more years"
"2020","120023","North Orange County Community College District","CA","Public","Four or more years"
"2020","444130","Northcentral University","CA","Private not-for-profit","Four or more years"
"2020","120166","Northwestern Polytechnic University","CA","Private not-for-profit","Four or more years"
"2020","120184","Notre Dame de Namur University","CA","Private not-for-profit","Four or more years"
"2020","495059","Oak Valley College","CA","Private not-for-profit","Four or more years"
"2020","120254","Occidental College","CA","Private not-for-profit","Four or more years"
"2020","120403","Otis College of Art and Design","CA","Private not-for-profit","Four or more years"
"2020","378576","Pacific College of Health and Science","CA","Private for-profit","Four or more years"
"2020","422695","Pacific College","CA","Private for-profit","Four or more years"
"2020","120768","Pacific Oaks College","CA","Private not-for-profit","Four or more years"
"2020","120795","Pacific School of Religion","CA","Private not-for-profit","Four or more years"
"2020","120838","Pacific States University","CA","Private not-for-profit","Four or more years"
"2020","120865","Pacific Union College","CA","Private not-for-profit","Four or more years"
"2020","115746","Pacifica Graduate Institute","CA","Private for-profit","Four or more years"
"2020","120698","Palo Alto University","CA","Private not-for-profit","Four or more years"
"2020","121628","Pardee RAND Graduate School","CA","Private not-for-profit","Four or more years"
"2020","495916","Pathways College","CA","Private not-for-profit","Four or more years"
"2020","439871","PCI College","CA","Private for-profit","Four or more years"
"2020","121150","Pepperdine University","CA","Private not-for-profit","Four or more years"
"2020","121257","Pitzer College","CA","Private not-for-profit","Four or more years"
"2020","490878","Platt College-Anaheim","CA","Private for-profit","Four or more years"
"2020","260789","Platt College-Los Angeles","CA","Private for-profit","Four or more years"
"2020","432384","Platt College-Ontario","CA","Private for-profit","Four or more years"
"2020","480204","Platt College-Riverside","CA","Private for-profit","Four or more years"
