year,unitid,inst_name,state_abbr,level_of_study,enrollment_fall
"2020","366711","California State University-San Marcos","CA","Graduate","1327"
"2020","366711","California State University-San Marcos","CA","Undergraduate","15040"
"2020","110495","California State University-Stanislaus","CA","Graduate","1260"
"2020","110495","California State University-Stanislaus","CA","Undergraduate","9903"
"2020","496043","California University of Science and Medicine","CA","Graduate","351"
"2020","111391","California Western School of Law","CA","Graduate","796"
"2020","433013","Career Networks Institute","CA","Undergraduate","522"
"2020","111638","Casa Loma College-Van Nuys","CA","Undergraduate","164"
"2020","439367","CBD College","CA","Undergraduate","974"
"2020","489353","Chamberlain University-California","CA","Undergraduate","263"
"2020","111948","Chapman University","CA","Graduate","2357"
"2020","111948","Chapman University","CA","Undergraduate","7404"
"2020","111966","Charles R Drew University of Medicine and Science","CA","Graduate","631"
"2020","111966","Charles R Drew University of Medicine and Science","CA","Undergraduate","241"
"2020","112127","Church Divinity School of the Pacific","CA","Graduate","71"
"2020","112251","Claremont Graduate University","CA","Graduate","1949"
"2020","488387","Claremont Lincoln University","CA","Graduate","300"
"2020","112260","Claremont McKenna College","CA","Graduate","2"
"2020","112260","Claremont McKenna College","CA","Undergraduate","1262"
"2020","124283","Claremont School of Theology","CA","Graduate","287"
"2020","112394","Cogswell College","CA","Graduate","10"
"2020","112394","Cogswell College","CA","Undergraduate","514"
"2020","112570","Columbia College Hollywood","CA","Undergraduate","760"
"2020","112075","Concordia University-Irvine","CA","Graduate","2367"
"2020","112075","Concordia University-Irvine","CA","Undergraduate","1704"
"2020","113236","Cypress College","CA","Undergraduate","15325"
"2020","113537","Dell'Arte International School of Physical Theatre","CA","Graduate","5"
"2020","113582","Design Institute of San Diego","CA","Graduate","6"
"2020","113582","Design Institute of San Diego","CA","Undergraduate","124"
"2020","482431","DeVry University-California","CA","Graduate","307"
"2020","482431","DeVry University-California","CA","Undergraduate","1619"
"2020","113704","Dominican School of Philosophy & Theology","CA","Graduate","72"
"2020","113698","Dominican University of California","CA","Graduate","458"
"2020","113698","Dominican University of California","CA","Undergraduate","1379"
"2020","122117","Dongguk University-Los Angeles","CA","Graduate","155"
"2020","122117","Dongguk University-Los Angeles","CA","Undergraduate","3"
"2020","114114","Emperor's College of Traditional Oriental Medicine","CA","Graduate","228"
"2020","114123","Empire College","CA","Graduate","75"
"2020","114123","Empire College","CA","Undergraduate","166"
"2020","124487","Epic Bible College","CA","Graduate","51"
"2020","124487","Epic Bible College","CA","Undergraduate","119"
"2020","114433","Feather River Community College District","CA","Undergraduate","1821"
"2020","114354","FIDM-Fashion Institute of Design & Merchandising-Los Angeles","CA","Graduate","39"
"2020","114354","FIDM-Fashion Institute of Design & Merchandising-Los Angeles","CA","Undergraduate","1847"
"2020","114390","FIDM-Fashion Institute of Design & Merchandising-San Francisco","CA","Undergraduate","113"
"2020","114549","Fielding Graduate University","CA","Graduate","1071"
"2020","114585","Five Branches University","CA","Graduate","349"
"2020","114716","Foothill College","CA","Undergraduate","14605"
"2020","114734","Franciscan School of Theology","CA","Graduate","57"
"2020","372073","Fremont College","CA","Graduate","9"
"2020","372073","Fremont College","CA","Undergraduate","171"
"2020","114813","Fresno Pacific University","CA","Graduate","1284"
"2020","114813","Fresno Pacific University","CA","Undergraduate","2711"
"2020","114840","Fuller Theological Seminary","CA","Graduate","2277"
"2020","115010","Glendale Career College","CA","Undergraduate","632"
"2020","449384","Gnomon","CA","Undergraduate","575"
"2020","115083","Golden Gate University-San Francisco","CA","Graduate","1877"
"2020","115083","Golden Gate University-San Francisco","CA","Undergraduate","595"
"2020","481058","Grace Mission University","CA","Graduate","146"
"2020","481058","Grace Mission University","CA","Undergraduate","88"
"2020","115214","Graduate Theological Union","CA","Graduate","213"
"2020","459213","Gurnick Academy of Medical Arts","CA","Undergraduate","2462"
"2020","115409","Harvey Mudd College","CA","Undergraduate","854"
"2020","485403","High Tech High Graduate School of Education","CA","Graduate","76"
"2020","115728","Holy Names University","CA","Graduate","305"
"2020","115728","Holy Names University","CA","Undergraduate","709"
"2020","457086","Homestead Schools","CA","Graduate","4"
"2020","457086","Homestead Schools","CA","Undergraduate","125"
"2020","120537","Hope International University","CA","Graduate","544"
